Country Name,Country Code,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21
Albania,ALB,100.9,59.9,77.8,80.9,90.4,82.9,87.9,95.2,86.8,87.8,90.3,96.8
Austria,AUT,96.3,65.8,72.4,80.2,84.7,88.8,91.1,89.4,83.6,90.9,88.7,92
Bulgaria,BGR,97.6,65.1,69.6,77.3,77.7,78.3,83.2,83,81,79.1,81.1,83.5
Cyprus,CYP,102.5,77.6,80,82.2,83.2,85,83.6,83.1,83.2,85.7,79.8,80.8
Czechia,CZE,96.7,69,69.5,69.4,85.7,84.9,88.8,84.6,77.1,84.9,83.9,87.2
Germany ,DEU,92.7,73.3,76.5,82.9,89.1,94.9,96.1,97.6,94.9,95.1,92.8,95.8
Denmark,DNK,95.6,64.9,65.3,75.9,83.6,84,86.5,89.8,88.2,96.7,94.1,92.6
Spain,ESP,100.2,75.2,76.4,84,91.4,88.9,90.6,90.3,88.5,91.5,93.9,90.7
Estonia,EST,97.6,71.9,71.7,74.3,83.2,86.3,89.2,92.3,91.1,94.1,96,96.8
Finland,FIN,91.8,71.2,75.1,78.6,87.7,85.4,84,86.8,88.2,90.7,95.6,93.6
France,FRA,99.5,70.6,70.5,79.9,84.3,92.4,96.1,93,88.5,92.8,90.1,91
United Kingdom,GBR,93.9,67.1,66.6,69.7,78.9,78.6,85.9,87.4,81.5,87.1,NaN,NaN
Greece,GRC,109.5,99.5,88.8,87.9,91.1,91,89.8,92.5,91.2,91.8,90.7,91.9
Croatia,HRV,104.6,75.3,81.6,87.1,85.7,92.8,90.6,90.4,88,88.8,90.2,94.1
Hungary,HUN,103.4,77.2,78.4,83.9,85.8,86.5,88,86.9,82.3,86.3,90.1,89.3
Ireland,IRL,96.3,68.8,73.2,79.3,82.4,86.9,90.6,86.9,91.9,92.5,87.7,90.9
Italy,ITA,85.4,NaN,65.4,73.7,79.8,82.3,90.5,91.3,83.1,89.8,90.2,94.6
Lithuania,LTU,103.3,82.3,86.3,90.2,92.8,94.8,97.5,99.8,96,96.2,99.1,101.9
Luxembourg,LUX,100.6,76.2,87.9,91.6,99,98.9,96.9,105.5,98.8,105.2,107,105.4
Latvia,LVA,96.9,79,80.1,84.7,88.5,91.8,95.1,93.1,91.3,89,87.2,88.5
North Macedonia,MKD,101.5,40.4,65.1,62.4,68.1,71.7,72.4,68.8,66.7,67.8,80.3,77.2
Malta,MLT,91.4,62.7,66.9,67.1,72.8,81.9,88.8,84.6,76.4,85.4,85.8,88.1
Montenegro,MNE,104.5,70.8,72.7,73.1,61.4,77.8,84.3,77.7,74.4,73.8,81.2,83.4
Netherlands,NLD,99.2,68.7,71.8,79,83.7,90.8,93,91,92,94.2,94.8,93.5
Poland,POL,98.8,59.8,59.5,67.9,76.6,82.6,84,85.5,78.2,83.5,82.3,87
Portugal,PRT,99.4,69.9,66.2,76.7,86.8,87.8,88.9,90.3,86.3,87.8,87.4,85.5
Romania,ROU,100.6,68.5,71.9,80,84.8,88.8,90.8,89,85.6,87.2,89.9,90.8
Serbia,SRB,111.9,57.8,81.6,95,87.8,88,92.9,97.4,88.5,87.4,95.4,97.4
Slovakia,SVK,98.1,59.9,63.5,75.1,85.7,90,87.9,89.3,87,87.9,83.3,79.2
Slovenia,SVN,95.1,68.4,76.3,81,87.3,93.8,95.5,91.6,84.5,87.7,89.6,93.5
Sweden,SWE,94.6,69.9,71.6,80,87.2,90.1,95.3,96.3,97.1,96.8,101.8,104.9
Turkey,TUR,91.3,55.3,63.9,77.9,85.5,89.5,91.2,96.6,91.1,89.8,102.7,100.7
